,transition_ts,category,idea_id,booking_request_id,to_state,space_id,country,city,portfolio_type,floor_size,floor_size_unit,start_on,end_on,price
92,2018-11-12 11:29:22.618,popup_shop,26,172875,matched,6341,GB,Manchester,4.0,30,0,2018-11-13 00:00:00,2018-11-15 00:00:00,9000
93,2018-11-19 10:45:34.413,popup_shop,26,174625,submitted,6341,GB,Manchester,4.0,30,0,2018-11-20 00:00:00,2018-11-22 00:00:00,9000
94,2018-11-23 08:28:17.699,popup_shop,26,174625,booked,6341,GB,Manchester,4.0,30,0,2018-11-20 00:00:00,2018-11-22 00:00:00,9000
95,2018-11-19 10:46:02.213,popup_shop,26,174625,matched,6341,GB,Manchester,4.0,30,0,2018-11-20 00:00:00,2018-11-22 00:00:00,9000
96,2018-12-17 14:09:25.565,popup_shop,26,179597,matched,6341,GB,Manchester,4.0,30,0,2018-12-18 00:00:00,2018-12-20 00:00:00,9000
97,2018-12-17 14:08:36.968,popup_shop,26,179597,submitted,6341,GB,Manchester,4.0,30,0,2018-12-18 00:00:00,2018-12-20 00:00:00,9000
98,2018-12-21 11:07:40.404,popup_shop,26,179597,booked,6341,GB,Manchester,4.0,30,0,2018-12-18 00:00:00,2018-12-20 00:00:00,9000
99,2018-11-26 11:07:53.515,popup_shop,26,175891,submitted,6341,GB,Manchester,4.0,30,0,2018-11-28 00:00:00,2018-11-30 00:00:00,9000
100,2018-11-26 11:08:03.742,popup_shop,26,175891,matched,6341,GB,Manchester,4.0,30,0,2018-11-28 00:00:00,2018-11-30 00:00:00,9000
101,2018-11-27 08:58:09.698,popup_shop,26,175891,booked,6341,GB,Manchester,4.0,30,0,2018-11-28 00:00:00,2018-11-30 00:00:00,9000
102,2018-12-10 14:28:08.554,popup_shop,26,178518,submitted,6341,GB,Manchester,4.0,30,0,2018-12-11 00:00:00,2018-12-13 00:00:00,9000
103,2018-12-12 13:03:23.041,popup_shop,26,178518,booked,6341,GB,Manchester,4.0,30,0,2018-12-11 00:00:00,2018-12-13 00:00:00,9000
104,2018-12-10 14:28:21.015,popup_shop,26,178518,matched,6341,GB,Manchester,4.0,30,0,2018-12-11 00:00:00,2018-12-13 00:00:00,9000
105,2018-06-08 07:00:46.425,popup_shop,29,141081,declined,3821,FR,Paris,3.0,46,1,2018-07-02 00:00:00,2018-07-22 00:00:00,247500
106,2018-06-07 11:22:52.348,popup_shop,29,141081,submitted,3821,FR,Paris,3.0,46,1,2018-07-02 00:00:00,2018-07-22 00:00:00,247500
107,2018-06-07 11:22:52.425,popup_shop,29,141082,submitted,4706,FR,Paris,3.0,28,1,2018-07-02 00:00:00,2018-07-22 00:00:00,360000
108,2018-06-08 07:00:35.426,popup_shop,29,141082,declined,4706,FR,Paris,3.0,28,1,2018-07-02 00:00:00,2018-07-22 00:00:00,360000
109,2018-06-08 07:00:19.272,popup_shop,29,141167,declined,5120,FR,Paris,3.0,25,1,2018-07-02 00:00:00,2018-07-22 00:00:00,336000
110,2018-06-07 14:38:46.411,popup_shop,29,141167,submitted,5120,FR,Paris,3.0,25,1,2018-07-02 00:00:00,2018-07-22 00:00:00,336000
