,booking_request_id,to_state,ending_stage,country,city,city_ok,capital,portfolio_type,floor_size_cat,price_category,time_booked,time_create_booking,after_creation,times_booked_cat
2538,161734.0,submitted / matched / declined / declined / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,20.0,212.15714054398148,sup_15j,15_30
2539,161733.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,20.0,212.15713969907407,sup_15j,15_30
2540,161730.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,inf_20,100k_200k,20.0,212.15713712962963,sup_15j,15_30
2541,169316.0,declined,declined,FR,Paris,paris,1.0,3.0,sup_200,1_5millions,13.0,246.27203261574073,sup_15j,10_15
2542,169318.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,13.0,246.27171056712962,sup_15j,10_15
2543,169315.0,declined,declined,FR,Paris,paris,1.0,3.0,100_200,200k_500k,13.0,246.27214677083333,sup_15j,10_15
2544,161731.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,20.0,212.15713797453705,sup_15j,15_30
2545,161732.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,inf_20,200k_500k,20.0,212.15713883101853,sup_15j,15_30
2546,169314.0,declined,declined,FR,Paris,paris,1.0,3.0,100_200,1_5millions,13.0,246.27225515046297,sup_15j,10_15
2547,169317.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,8.0,40_60,200k_500k,15.0,246.27148881944444,sup_15j,15_30
2548,173394.0,submitted / matched / booked,booked,FR,Paris,paris,1.0,8.0,40_60,500k_1millions,16.0,260.2062695023148,sup_15j,15_30
2551,158513.0,submitted / declined,declined,GB,London,london,1.0,4.0,inf_20,10k_50k,3.0,1.1921296296296297e-06,less_10s,3_5
2552,129607.0,submitted / matched / booked,booked,US,New York,new york,1.0,3.0,sup_200,sup_5millions,19.0,89.77277413194444,sup_15j,15_30
2553,112492.0,submitted / matched / declined,declined,US,New York,new york,1.0,7.0,sup_200,500k_1millions,13.0,0.0018004166666666667,10s_1h,10_15
2554,129660.0,submitted / matched / declined,declined,US,New York,new york,1.0,7.0,sup_200,1_5millions,24.0,89.80293594907407,sup_15j,15_30
2555,129606.0,submitted / matched / declined,declined,US,New York,new york,1.0,3.0,80_100,1_5millions,29.0,89.77277332175926,sup_15j,15_30
2556,113435.0,declined,declined,US,New York,new york,1.0,3.0,sup_200,1_5millions,13.0,19.820066886574075,sup_15j,10_15
2557,112501.0,submitted / matched / declined,declined,US,New York,new york,1.0,7.0,100_200,500k_1millions,13.0,0.08019730324074074,1h_1j,10_15
2558,112503.0,submitted / matched / declined,declined,US,New York,new york,1.0,3.0,sup_200,1_5millions,13.0,0.08857329861111111,1h_1j,10_15
2559,113436.0,submitted / matched / declined,declined,US,New York,new york,1.0,3.0,sup_200,sup_5millions,13.0,5.922014236111111,3j_15j,10_15
2560,129608.0,submitted / matched / declined,declined,US,Brooklyn,brooklyn,0.0,7.0,sup_200,1_5millions,32.0,89.77277489583334,sup_15j,sup_30
2561,112502.0,submitted / matched / declined,declined,US,New York,new york,1.0,3.0,sup_200,1_5millions,13.0,0.08020929398148148,1h_1j,10_15
2562,113996.0,declined,declined,FR,Paris,paris,1.0,3.0,inf_20,50k_100k,6.0,6.016869791666666,3j_15j,5_7
2563,175028.0,submitted / declined,declined,FR,Paris,paris,1.0,8.0,40_60,200k_500k,14.0,305.86917327546297,sup_15j,10_15
2564,113914.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,50k_100k,3.0,4.79516068287037,3j_15j,3_5
2565,113997.0,declined,declined,FR,Neuilly sur Seine,neuilly sur seine,0.0,3.0,40_60,100k_200k,4.0,6.757247280092592,3j_15j,3_5
2566,124582.0,declined,declined,FR,Neuilly sur Seine,neuilly sur seine,0.0,3.0,40_60,100k_200k,6.0,276.992288287037,sup_15j,5_7
2567,115808.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,100k_200k,6.0,54.97993619212963,sup_15j,5_7
2568,168296.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,20.0,291.8167260763889,sup_15j,15_30
2569,167920.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,14.0,273.9771109375,sup_15j,10_15
2570,168748.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,14.0,278.9142134837963,sup_15j,10_15
2571,126093.0,declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,13.0,276.99203766203703,sup_15j,10_15
2572,171240.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,13.0,291.7933247800926,sup_15j,10_15
2573,115809.0,declined,declined,FR,Paris,paris,1.0,3.0,inf_20,50k_100k,6.0,54.97986342592593,sup_15j,5_7
2574,126094.0,declined,declined,FR,Paris,paris,1.0,3.0,inf_20,50k_100k,6.0,276.9919474884259,sup_15j,5_7
2575,126640.0,declined,declined,FR,Paris,paris,1.0,3.0,inf_20,50k_100k,6.0,273.98162342592593,sup_15j,5_7
2576,171242.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,inf_20,100k_200k,13.0,291.79332650462965,sup_15j,10_15
