,id,city,space_id,idea_id,start_on,end_on,price_pounds
4424,162684,London,5562,837,2018-11-23 00:00:00,2018-11-23 00:00:00,6000
4437,134678,London ,6031,841,2018-06-09 00:00:00,2018-06-09 00:00:00,30000
4441,120846,London,327,841,2018-04-23 00:00:00,2018-05-06 00:00:00,140000
4442,127129,London,1009,841,2018-04-04 00:00:00,2018-04-25 00:00:00,175840
4447,160753,London,4439,841,2018-10-10 00:00:00,2018-10-10 00:00:00,5000
4450,179066,London,4439,841,2019-01-16 00:00:00,2019-01-30 00:00:00,75000
4491,111329,London,3090,854,2018-02-24 00:00:00,2018-02-24 00:00:00,12500
4599,157701,London,2780,879,2018-10-07 00:00:00,2018-10-14 00:00:00,381900
4678,140970,Leeds,4301,896,2018-06-22 00:00:00,2018-06-24 00:00:00,39999
4694,159489,London,5145,898,2018-09-25 00:00:00,2018-10-08 00:00:00,11900
4712,134364,Paris,5953,900,2018-05-16 00:00:00,2018-05-17 00:00:00,60000
4713,151967,London,960,902,2018-04-09 00:00:00,2018-04-09 00:00:00,500000
4805,136855,London,5149,917,2018-06-01 00:00:00,2018-06-10 00:00:00,715000
4813,178198,London,6935,917,2018-12-20 00:00:00,2018-12-20 00:00:00,17858
4817,177506,London,6935,917,2018-12-05 00:00:00,2018-12-19 00:00:00,267870
4945,117628,New York,5419,946,2018-03-16 00:00:00,2018-03-17 00:00:00,37000
4969,148650,London,6264,960,2018-08-25 00:00:00,2018-08-25 00:00:00,1500
4990,115507,New York,4085,966,2018-04-26 00:00:00,2018-04-28 00:00:00,172500
5098,160709,London,3839,983,2019-04-22 00:00:00,2019-05-12 00:00:00,599991
5179,177030,London,6864,992,2019-02-17 00:00:00,2019-02-24 00:00:00,141144
5217,166353,London,581,999,2018-10-29 00:00:00,2018-11-04 00:00:00,175000
5390,127724,London,4263,1028,2018-05-05 00:00:00,2018-05-06 00:00:00,100000
5419,140504,Paris,4663,1036,2018-06-16 00:00:00,2018-06-17 00:00:00,30000
5462,120587,London,4411,1065,2018-03-24 00:00:00,2018-03-25 00:00:00,100000
5542,173394,Paris,6847,1078,2018-12-10 00:00:00,2018-12-26 00:00:00,783870
5595,129607,New York,3972,1084,2018-06-01 00:00:00,2018-06-20 00:00:00,11776465
5672,131275,London,2575,1094,2018-10-04 00:00:00,2018-10-04 00:00:00,19500
5675,139428,London,2575,1094,2018-07-03 00:00:00,2018-07-05 00:00:00,58500
5847,141410,New York,6175,1146,2018-06-20 00:00:00,2018-07-01 00:00:00,1440000
5866,165202,London,5563,1154,2018-12-05 00:00:00,2018-12-05 00:00:00,4000
5893,157497,London ,6569,1170,2018-09-28 00:00:00,2018-09-28 00:00:00,20000
5924,163277,London,6490,1173,2018-10-17 00:00:00,2018-10-27 00:00:00,628562
6078,113998,Brooklyn,5277,1202,2018-02-17 00:00:00,2018-02-17 00:00:00,60000
6149,123502,London ,2220,1212,2018-05-23 00:00:00,2018-05-27 00:00:00,90000
6196,120543,London,5048,1222,2018-03-22 00:00:00,2018-03-28 00:00:00,100000
6205,148320,Manchester,6018,1225,2018-08-03 00:00:00,2018-08-31 00:00:00,58000
6413,114330,Paris,3601,1248,2018-03-01 00:00:00,2018-03-06 00:00:00,180000
6594,151659,Brighton ,2103,1278,2018-08-22 00:00:00,2018-08-25 00:00:00,94000
6637,154215,Paris,6524,1283,2018-09-15 00:00:00,2018-09-16 00:00:00,35000
6715,161768,Manchester,6341,1293,2018-10-18 00:00:00,2018-10-19 00:00:00,6000
6733,121220,London ,5326,1302,2018-04-07 00:00:00,2018-04-07 00:00:00,45000
6810,169088,London,383,1325,2018-11-12 00:00:00,2018-11-18 00:00:00,87500
6817,116931,Paris,2513,1327,2018-03-30 00:00:00,2018-04-01 00:00:00,138000
6870,172985,London,5563,1335,2018-11-21 00:00:00,2018-11-21 00:00:00,4000
6872,173690,London,5562,1335,2018-11-23 00:00:00,2018-11-30 00:00:00,12000
6873,172984,London,4912,1335,2018-12-21 00:00:00,2018-12-21 00:00:00,6000
7058,160353,London,5563,1370,2018-11-21 00:00:00,2018-11-21 00:00:00,4000
7061,164807,London,5563,1370,2018-11-07 00:00:00,2018-11-07 00:00:00,4000
7065,147618,London,5563,1370,2018-08-15 00:00:00,2018-08-15 00:00:00,4000
7068,150264,London,5563,1370,2018-09-12 00:00:00,2018-09-26 00:00:00,60000
7073,145316,London,5563,1370,2018-08-01 00:00:00,2018-08-01 00:00:00,4000
7074,165914,London,5563,1370,2018-12-05 00:00:00,2018-12-05 00:00:00,4000
7075,167758,London,5563,1370,2018-10-24 00:00:00,2018-10-24 00:00:00,4000
7078,150263,London,5562,1370,2018-09-07 00:00:00,2018-09-21 00:00:00,90000
7081,157411,London,5562,1370,2018-10-05 00:00:00,2018-10-05 00:00:00,6000
7085,160305,London,4912,1370,2018-12-19 00:00:00,2018-12-19 00:00:00,6000
7145,144655,New York,5502,1387,2018-07-26 00:00:00,2018-07-26 00:00:00,350000
7230,120663,London,2219,1400,2018-04-04 00:00:00,2018-04-04 00:00:00,250000
7244,133549,London,3281,1402,2018-09-16 00:00:00,2018-09-22 00:00:00,175000
7258,170556,Paris,5160,1408,2018-11-30 00:00:00,2018-12-02 00:00:00,54086
7284,148080,Birmingham,1961,1412,2018-10-08 00:00:00,2019-04-07 00:00:00,1690000
7297,169440,London,1009,1417,2018-11-14 00:00:00,2018-11-16 00:00:00,24000
7309,153376,London,6491,1419,2018-09-03 00:00:00,2018-10-01 00:00:00,2484000
7312,162289,London,6491,1419,2018-10-02 00:00:00,2019-01-04 00:00:00,8264643
7380,153831,London,5716,1429,2018-09-16 00:00:00,2018-09-23 00:00:00,285000
7382,155678,Paris,6279,1430,2018-11-17 00:00:00,2018-11-18 00:00:00,142000
7392,158924,Manchester,6341,1431,2018-09-26 00:00:00,2018-09-27 00:00:00,6000
